closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
December,Not Murdered,40.86186421,-73.91273918,12,"40.86186421,-73.91273918",,,12/17/2022,4:08:00,4,3AM-5:59AM
September,Not Murdered,40.693035,-73.928275,9,"40.693035,-73.928275",,,9/29/2022,21:32:00,21,9PM-11:59PM
October,Murdered,40.666649,-73.892068,10,"40.666649,-73.892068",,,10/16/2022,20:05:00,20,6PM-8:59PM
June,Not Murdered,40.820137,-73.892278,6,"40.820137,-73.892278",,,6/3/2022,15:41:00,15,3PM-5:59PM
November,Murdered,40.749576,-74.004654,11,"40.749576,-74.004654",,,11/12/2022,22:18:00,22,9PM-11:59PM
May,Murdered,40.66729,-73.909161,5,"40.66729,-73.909161",,,5/29/2022,10:41:00,10,9AM-11:59AM
September,Not Murdered,40.747153,-73.869859,9,"40.747153,-73.869859",,,9/18/2022,13:35:00,13,12PM-2:59PM
February,Not Murdered,40.81591308,-73.94514931,2,"40.81591308,-73.94514931",,,2/18/2022,22:28:00,22,9PM-11:59PM
May,Not Murdered,40.764711,-73.989914,5,"40.764711,-73.989914",,,5/28/2022,1:17:00,1,12AM-2:59AM
April,Not Murdered,40.80985,-73.937644,4,"40.80985,-73.937644",,,4/24/2022,19:29:00,19,6PM-8:59PM
November,Not Murdered,40.749576,-74.004654,11,"40.749576,-74.004654",,,11/12/2022,22:18:00,22,9PM-11:59PM
June,Not Murdered,40.63801,-73.898489,6,"40.63801,-73.898489",,,6/19/2022,21:39:00,21,9PM-11:59PM
December,Not Murdered,40.843004,-73.886251,12,"40.843004,-73.886251",,,12/28/2022,18:36:00,18,6PM-8:59PM
August,Not Murdered,40.821199,-73.944854,8,"40.821199,-73.944854",,,8/20/2022,2:58:00,2,12AM-2:59AM
September,Murdered,40.7342,-73.989341,9,"40.7342,-73.989341",,,9/1/2022,5:01:00,5,3AM-5:59AM
June,Not Murdered,40.726998,-73.89357,6,"40.726998,-73.89357",,,6/20/2022,1:13:00,1,12AM-2:59AM
December,Not Murdered,40.668341,-73.906514,12,"40.668341,-73.906514",,,12/21/2022,14:22:00,14,12PM-2:59PM
February,Not Murdered,40.844372,-73.886691,2,"40.844372,-73.886691",,,2/13/2022,10:21:00,10,9AM-11:59AM
September,Not Murdered,40.864322,-73.866377,9,"40.864322,-73.866377",,,9/15/2022,20:49:00,20,6PM-8:59PM
October,Not Murdered,40.706592,-73.795606,10,"40.706592,-73.795606",,,10/30/2022,16:35:00,16,3PM-5:59PM
August,Not Murdered,40.867453,-73.886576,8,"40.867453,-73.886576",,,8/13/2022,2:26:00,2,12AM-2:59AM
November,Not Murdered,40.830115,-73.919471,11,"40.830115,-73.919471",,,11/24/2022,1:23:00,1,12AM-2:59AM
May,Not Murdered,40.732054,-73.813346,5,"40.732054,-73.813346",,,5/1/2022,23:39:00,23,9PM-11:59PM
January,Not Murdered,40.796382,-73.964958,1,"40.796382,-73.964958",,,1/18/2022,19:21:00,19,6PM-8:59PM
January,Not Murdered,40.868175,-73.846671,1,"40.868175,-73.846671",,,1/25/2022,3:40:00,3,3AM-5:59AM
March,Murdered,40.825285,-73.917538,3,"40.825285,-73.917538",,,3/15/2022,19:23:00,19,6PM-8:59PM
April,Not Murdered,40.638659,-74.022462,4,"40.638659,-74.022462",,,4/4/2022,14:03:00,14,12PM-2:59PM
June,Not Murdered,40.827787,-73.899001,6,"40.827787,-73.899001",,,6/26/2022,22:50:00,22,9PM-11:59PM
February,Not Murdered,40.80841775,-73.95247406,2,"40.80841775,-73.95247406",,,2/8/2022,6:47:00,6,6AM-8:59AM
May,Murdered,40.71801843,-73.99995671,5,"40.71801843,-73.99995671",,,5/22/2022,11:42:00,11,9AM-11:59AM
October,Not Murdered,40.823875,-73.937448,10,"40.823875,-73.937448",,,10/8/2022,1:13:00,1,12AM-2:59AM
December,Not Murdered,40.81063,-73.943399,12,"40.81063,-73.943399",,,12/15/2022,1:30:00,1,12AM-2:59AM
January,Not Murdered,40.643321,-74.010383,1,"40.643321,-74.010383",,,1/16/2022,9:05:00,9,9AM-11:59AM
August,Not Murdered,40.680112,-73.79198,8,"40.680112,-73.79198",,,8/15/2022,19:50:00,19,6PM-8:59PM
